"nome_ra";"casos";"obitos";"casos_novos";"obitos_novos";"pop";"casos_pc";"obitos_pc"
"";56;0;-17;-1;0;Inf;NA
"RA de Franca";152;5;9;0;694558;21,884421459403;0,719882284848781
"RA de Itapeva";145;11;2;0;486067;29,831278404006;2,26306249961425
"RA de Registro";317;12;31;0;274347;115,547099111709;4,37402267930759
"RA Central";355;13;33;1;992986;35,7507558011895;1,30918260680412
"RA de Barretos";245;14;23;2;427116;57,3614662059019;3,27779806890868
"RA de Marília";234;16;12;2;786806;29,7404951156956;2,03353812756893
"RA de Araçatuba";355;19;21;0;726566;48,8599796852592;2,61504116625331
"RA de Presidente Prudente";386;31;15;1;771974;50,0016839945387;4,01567928453549
"RA de Bauru";704;36;60;3;1077765;65,3203620455294;3,34024578641912
"RA de Ribeirão Preto";786;40;76;2;1340537;58,633219374027;2,98387884855099
"RA de São José do Rio Preto";902;41;45;2;1398559;64,4949551645658;2,93158887111663
"RA de São José dos Campos";1453;61;81;2;2451247;59,2759521990236;2,48852930773602
"RA de Sorocaba";1659;84;96;4;2504100;66,251347789625;3,35449862225949
"RA de Campinas";4118;226;241;6;6916255;59,5408931567734;3,26766436460194
"RA de Santos";3415;229;187;4;1831884;186,420100836079;12,5007915348352
"RM de São Paulo";58457;4720;2965;167;21138247;276,54611094288;22,3291931445403
